Mutual Fund,Symbol
Franklin Asian Equity Fund Dividend Payout,FRAN_ASIA_EQUI_1NMX7J8
Franklin Asian Equity Fund Dividend Reinvestment,FRAN_ASIA_EQUI_1TKL9Q2
Franklin Asian Equity Fund Growth,FRAN_ASIA_EQUI_141RQTF
Franklin Build India Dividend Payout,FRAN_BUIL_INDI_1NF4B4H
Franklin Build India Dividend Reinvestment,FRAN_BUIL_INDI_1NL0R18
Franklin Build India Fund - Direct - Growth,FRAN_BUIL_INDI_1JJ9FOD
Franklin Build India Fund Direct Dividend Payout,FRAN_BUIL_INDI_VB1L73
Franklin Build India Fund Direct Dividend Reinvestment,FRAN_BUIL_INDI_B8MCMD
Franklin Build India Growth,FRAN_BUIL_INDI_R8KGTL
Franklin India Balanced Fund - Direct - Growth,FRAN_INDI_BALA_CWYGS4
Franklin India Balanced Fund Direct Dividend Payout,FRAN_INDI_BALA_16QHGRO
Franklin India Balanced Fund Direct Dividend Reinvestment,FRAN_INDI_BALA_1GE1BV5
Franklin India Balanced Fund Dividend Payout,FRAN_INDI_BALA_1EN8NZK
Franklin India Balanced Fund Dividend Reinvestment,FRAN_INDI_BALA_MCPHDB
Franklin India Balanced Fund Growth,FRAN_INDI_BALA_1BJB5XE
Franklin India Banking & PSU Debt Fund Direct Dividend Payout,FRAN_INDI_BANK_M3170
Franklin India Banking & PSU Debt Fund Direct Dividend Reinvestment,FRAN_INDI_BANK_WOAJKW
Franklin India Banking & PSU Debt Fund Direct Growth,FRAN_INDI_BANK_1IC8XOB
Franklin India Banking & PSU Debt Fund Dividend Payout,FRAN_INDI_BANK_1JFKDQL
Franklin India Banking & PSU Debt Fund Dividend Reinvestment,FRAN_INDI_BANK_UEL2RT
Franklin India Banking & PSU Debt Fund Growth,FRAN_INDI_BANK_1E5X4RK
Franklin India Bluechip Fund Dividend Payout,FRAN_INDI_BLUE_N2B68N
Franklin India Bluechip Fund Dividend Reinvestment,FRAN_INDI_BLUE_1OBEERR
Franklin India Bluechip Fund Growth,FRAN_INDI_BLUE_CED3FJ
Franklin India Bluechip Fund- Direct - Growth,FRAN_INDI_BLUE_WOURVM
Franklin India Bluechip Fund- Direct -Dividend Payout,FRAN_INDI_BLUE_UYWUJO
Franklin India Bluechip Fund- Direct -Dividend Reinvestment,FRAN_INDI_BLUE_1VSEMP4
Franklin India Cash Management Account - Direct - Growth,FRAN_INDI_CASH_16I9R1I
Franklin India Cash Management Account Daily Dividend Reinvestment,FRAN_INDI_CASH_1C97UTQ
Franklin India Cash Management Account Direct Dividend Reinvestment,FRAN_INDI_CASH_5DXRPJ
Franklin India Cash Management Account Growth,FRAN_INDI_CASH_38CYJZ
Franklin India Corporate Bond Opportunities Fund - Direct - Growth,FRAN_INDI_CORP_166YT61
Franklin India Corporate Bond Opportunities Fund Direct Dividend Payout,FRAN_INDI_CORP_CRKVYD
Franklin India Corporate Bond Opportunities Fund Direct Dividend Reinvestment,FRAN_INDI_CORP_BOC514
Franklin India Corporate Bond Opportunities Fund Dividend Payout,FRAN_INDI_CORP_1L0LLHM
Franklin India Corporate Bond Opportunities Fund Dividend Reinvestment,FRAN_INDI_CORP_118EVJC
Franklin India Corporate Bond Opportunities Fund Growth,FRAN_INDI_CORP_I6H938
Franklin India Dynamic Accrual Fund - Direct - Growth,FRAN_INDI_DYNA_ODLZ65
Franklin India Dynamic Accrual Fund Direct Dividend Payout,FRAN_INDI_DYNA_75S9X2
Franklin India Dynamic Accrual Fund Direct Dividend Reinvestment,FRAN_INDI_DYNA_1OFHAV3
Franklin India Dynamic Accrual Fund Dividend Payout,FRAN_INDI_DYNA_X8G9V5
Franklin India Dynamic Accrual Fund Dividend Reinvestment,FRAN_INDI_DYNA_1E0VUNM
Franklin India Dynamic Accrual Fund Growth,FRAN_INDI_DYNA_1P2OBWT
Franklin India Dynamic PE Ratio Fund Of Funds - Direct - Growth,FRAN_INDI_DYN_1TDPWZW
Franklin India Dynamic PE Ratio Fund Of Funds Direct Dividend Payout,FRAN_INDI_DYN_8IQ2NF
Franklin India Dynamic PE Ratio Fund Of Funds Direct Dividend Reinvestment,FRAN_INDI_DYN_1KEHU6V
Franklin India Dynamic PE Ratio Fund Of Funds Dividend Payout,FRAN_INDI_DYN_1F9X30C
Franklin India Dynamic PE Ratio Fund Of Funds Dividend Reinvestment,FRAN_INDI_DYN_17LWEPK
Franklin India Dynamic PE Ratio Fund Of Funds Growth,FRAN_INDI_DYN_1RSU0Z6
Franklin India Feeder - Franklin European Growth Fund - Direct - Growth,FRAN_IND_FEED_LF6710
Franklin India Feeder - Franklin European Growth Fund - Growth,FRAN_IND_FEED_1J7ZGQS
Franklin India Feeder - Franklin U.S. Opportunities Fund - Direct - Growth,FRAN_IND_FEED_168KG3F
Franklin India Feeder - Franklin U.S. Opportunities Fund Growth,FRAN_IND_FEED_ZUIAG5
Franklin India Feeder Franklin European Growth Fund Direct Dividend Payout,FRAN_IND_FEED_48QJVM
Franklin India Feeder Franklin European Growth Fund Direct Dividend Reinvestment,FRAN_IND_FEED_1JT61U1
Franklin India Feeder Franklin European Growth Fund Dividend Payout,FRAN_IND_FEED_WNUFGI
Franklin India Feeder Franklin European Growth Fund Dividend Reinvestment,FRAN_IND_FEED_F07FUQ
Franklin India Feeder Franklin U.S. Opportunities Fund Direct Dividend Payout,FRAN_IND_FEED_1LYOLG5
Franklin India Feeder Franklin U.S. Opportunities Fund Direct Dividend Reinvestment,FRAN_IND_FEED_1MBB1SV
Franklin India Feeder Franklin U.S. Opportunities Fund Dividend Payout,FRAN_IND_FEED_1Z0YYHA
Franklin India Feeder Franklin U.S. Opportunities Fund Dividend Reinvestment,FRAN_IND_FEED_3I273G
Franklin India Fixed Maturity Plans - Series 1 Direct Dividend,FRAN_INDI_FMP_1791EYR
Franklin India Fixed Maturity Plans - Series 1 Direct Growth,FRAN_INDI_FMP_1DGO2HG
Franklin India Fixed Maturity Plans - Series 1 Direct Quarterly Dividend,FRAN_INDI_FMP_1XTKHGU
Franklin India Fixed Maturity Plans - Series 1 Regular Dividend,FRAN_INDI_FMP_1HX4MOW
Franklin India Fixed Maturity Plans - Series 1 Regular Growth,FRAN_INDI_FMP_2RFU53
Franklin India Fixed Maturity Plans - Series 1 Regular Quarterly Dividend,FRAN_INDI_FMP_2SV01F
Franklin India Fixed Maturity Plans - Series 1B Direct Dividend,FRAN_INDI_FMP_1LLQXC8
Franklin India Fixed Maturity Plans - Series 1B Direct Growth,FRAN_INDI_FMP_14DW2AY
Franklin India Fixed Maturity Plans - Series 1B Direct Quarterly Dividend,FRAN_INDI_FMP_7CDZM5
Franklin India Fixed Maturity Plans - Series 1B Regular Dividend,FRAN_INDI_FMP_1VJ63OL
Franklin India Fixed Maturity Plans - Series 1B Regular Growth,FRAN_INDI_FMP_GVYX1K
Franklin India Fixed Maturity Plans - Series 1B Regular Quarterly Dividend,FRAN_INDI_FMP_1AQUT63
Franklin India Flexi Cap Fund - Direct - Growth,FRAN_INDI_FLEX_6329M6
Franklin India Flexi Cap Fund Direct Dividend Payout,FRAN_INDI_FLEX_1YCIXLU
Franklin India Flexi Cap Fund Direct Dividend Reinvestment,FRAN_INDI_FLEX_13QE0J4
Franklin India Flexi Cap Fund Dividend Payout,FRAN_INDI_FLEX_RHUPNG
Franklin India Flexi Cap Fund Dividend Reinvestment,FRAN_INDI_FLEX_A7JTDL
Franklin India Flexi Cap Fund Growth,FRAN_INDI_FLEX_C68CJE
Franklin India Government Securities Fund - Composite Plan - Direct - Growth,FRAN_INDI_GOV_YPRV5W
Franklin India Government Securities Fund - Composite Plan Growth,FRAN_INDI_GOV_1IWXE9Y
Franklin India Government Securities Fund - Long Term Plan - Direct - Growth,FRAN_INDI_GOV_1K6B54K
Franklin India Government Securities Fund - Provident Fund Plan - Direct - Growth,FRAN_INDI_GOV_1LYFTEX
Franklin India Government Securities Fund Composite Plan Direct Quarterly Dividend Payout,FRAN_INDI_GOV_9S43SY
Franklin India Government Securities Fund Composite Plan Direct Quarterly Dividend Reinvestment,FRAN_INDI_GOV_1HPO6YK
Franklin India Government Securities Fund Composite Plan Dividend Payout,FRAN_INDI_GOV_UYBC73
Franklin India Government Securities Fund Composite Plan Dividend Reinvestment,FRAN_INDI_GOV_1R0HZQ4
Franklin India Government Securities Fund Long Term Plan Direct Quarterly Dividend Payout,FRAN_INDI_GOV_2T20N8
Franklin India Government Securities Fund Long Term Plan Direct Quarterly Dividend Reinvestment,FRAN_INDI_GOV_L6AIOC
Franklin India Government Securities Fund Long Term Plan Growth,FRAN_INDI_GOV_89PCFL
Franklin India Government Securities Fund Long Term Plan Quarterly Dividend Payout,FRAN_INDI_GOV_1GPQ2AE
Franklin India Government Securities Fund Long Term Plan Quarterly Dividend Reinvestment,FRAN_INDI_GOV_1GFGIVQ
Franklin India Government Securities Fund Provident Fund Plan Direct Dividend Reinvestment,FRAN_INDI_GOV_1LRBJ49
Franklin India Government Securities Fund Provident Fund Plan Dividend Payout,FRAN_INDI_GOV_D0F4S6
Franklin India Government Securities Fund Provident Fund Plan Dividend Reinvestment,FRAN_INDI_GOV_1V6DFJQ
Franklin India Government Securities Fund Provident Fund Plan Growth,FRAN_INDI_GOV_1Y9MDAA
Franklin India High Growth Companies Fund - Direct - Growth,FRAN_INDI_HIGH_587TXT
Franklin India High Growth Companies Fund - Growth,FRAN_INDI_HIGH_TU5VSO
Franklin India High Growth Companies Fund Direct Dividend Payout,FRAN_INDI_HIGH_1S4ZFEJ
Franklin India High Growth Companies Fund Direct Dividend Reinvestment,FRAN_INDI_HIGH_16ZSWTJ
Franklin India High Growth Companies Fund Dividend Payout,FRAN_INDI_HIGH_655PKQ
Franklin India High Growth Companies Fund Dividend Reinvestment,FRAN_INDI_HIGH_TIQ79H
Franklin India Income Builder Account - Direct - Growth,FRAN_INDI_INC_1VCY0KN
Franklin India Income Builder Account - Plan A - Growth,FRAN_INDI_INC_YN53K0
Franklin India Income Builder Account Direct Annual Dividend Payout,FRAN_INDI_INC_RDZGZL
Franklin India Income Builder Account Direct Annual Dividend Reinvestment,FRAN_INDI_INC_14JNL05
Franklin India Income Builder Account Direct Half Yearly Dividend Payout,FRAN_INDI_INC_H6JK5D
Franklin India Income Builder Account Direct Half Yearly Dividend Reinvestment,FRAN_INDI_INC_PKH105
Franklin India Income Builder Account Direct Monthly Dividend Payout,FRAN_INDI_INC_1REOSFM
Franklin India Income Builder Account Direct Monthly Dividend Reinvestment,FRAN_INDI_INC_AWAIOJ
Franklin India Income Builder Account Direct Quarterly Dividend Payout,FRAN_INDI_INC_10S1FV8
Franklin India Income Builder Account Direct Quarterly Dividend Reinvestment,FRAN_INDI_INC_16JI9SX
Franklin India Income Builder Account Plan A Annual Dividend Payout,FRAN_INDI_INC_14BFQ1S
Franklin India Income Builder Account Plan A Annual Dividend Reinvestment,FRAN_INDI_INC_U3HUAW
Franklin India Income Builder Account Plan A Half Yearly Dividend Payout,FRAN_INDI_INC_E5EM1B
Franklin India Income Builder Account Plan A Half Yearly Dividend Reinvestment,FRAN_INDI_INC_I435K4
Franklin India Income Builder Account Plan A Monthly Dividend Payout,FRAN_INDI_INC_1LCRI1X
Franklin India Income Builder Account Plan A Monthly Dividend Reinvestment,FRAN_INDI_INC_KNDAPS
Franklin India Income Builder Account Plan A Quarterly Dividend Payout,FRAN_INDI_INC_1PAOBZF
Franklin India Income Builder Account Plan A Quarterly Dividend Reinvestment,FRAN_INDI_INC_1CV684U
Franklin India Income Opportunities Fund - Direct - Growth,FRAN_INDI_INCO_1DPDQ2V
Franklin India Income Opportunities Fund Direct Dividend Payout,FRAN_INDI_INCO_IZ8Z3J
Franklin India Income Opportunities Fund Direct Dividend Reinvestment,FRAN_INDI_INCO_1KDR3AE
Franklin India Income Opportunities Fund Dividend Payout,FRAN_INDI_INCO_16BMD1K
Franklin India Income Opportunities Fund Dividend Reinvestment,FRAN_INDI_INCO_3Z8B75
Franklin India Income Opportunities Fund Growth,FRAN_INDI_INCO_RBKJ4U
Franklin India Index Fund NSE Nifty Plan Dividend Payout,FRAN_INDI_INDE_1SNFK3O
Franklin India Index Fund NSE Nifty Plan Dividend Reinvestment,FRAN_INDI_INDE_1NQQ1WY
Franklin India Index Fund NSE Nifty Plan Growth,FRAN_INDI_INDE_JDLYQE
Franklin India Index Fund Nifty Plan - Direct - Growth,FRAN_INDI_INDE_1YZF6N1
Franklin India Index Fund Nifty Plan Direct Dividend Payout,FRAN_INDI_INDE_1IIC83T
Franklin India Index Fund Nifty Plan Direct Dividend Reinvestment,FRAN_INDI_INDE_VZ1U3D
Franklin India Life Stage Fund Of Funds - The 20S Plan - Direct - Growth,FRAN_INDI_LS_1BYLS2L
Franklin India Life Stage Fund Of Funds - The 30S Plan - Direct - Growth,FRAN_INDI_LS_1TCPK6U
Franklin India Life Stage Fund Of Funds - The 40S Plan - Direct - Growth,FRAN_INDI_LS_YFHVIU
Franklin India Life Stage Fund Of Funds - The 50S Plus - Direct - Growth,FRAN_INDI_LS_3TM128
Franklin India Life Stage Fund Of Funds - The 50S Plus Floating Rate Plan - Direct - Growth,FRAN_INDI_LS_NTJ303
Franklin India Life Stage Fund Of Funds The 20S Plan Direct Dividend Payout,FRAN_INDI_LS_FGBUZP
Franklin India Life Stage Fund Of Funds The 20S Plan Direct Dividend Reinvestment,FRAN_INDI_LS_ZEK27V
Franklin India Life Stage Fund Of Funds The 30S Plan Direct Dividend Payout,FRAN_INDI_LS_SWDW21
Franklin India Life Stage Fund Of Funds The 30S Plan Direct Dividend Reinvestment,FRAN_INDI_LS_1LKZFK2
Franklin India Life Stage Fund Of Funds The 40S Plan Direct Dividend Payout,FRAN_INDI_LS_OSKIND
Franklin India Life Stage Fund Of Funds The 40S Plan Direct Dividend Reinvestment,FRAN_INDI_LS_QOTJ7G
Franklin India Life Stage Fund Of Funds The 50S Plus Direct Dividend Payout,FRAN_INDI_LS_RQRGXL
Franklin India Life Stage Fund Of Funds The 50S Plus Direct Dividend Reinvestment,FRAN_INDI_LS_3NTLVQ
Franklin India Life Stage Fund Of Funds The 50S Plus Floating Rate Plan Direct Dividend Payout,FRAN_INDI_LS_1SPGAN1
Franklin India Life Stage Fund Of Funds The 50S Plus Floating Rate Plan Direct Dividend Reinvestment,FRAN_INDI_LS_1LYGDGG
Franklin India Life Stage Fund Of Funds The 50s Plus Plan Dividend Payout,FRAN_INDI_LS_MV7Z4Z
Franklin India Life Stage Fund Of Funds The 50s Plus Plan Dividend Reinvestment,FRAN_INDI_LS_CYMHYF
Franklin India Life Stage Fund of Funds - The 20s Plan - Growth,FRAN_INDI_LS_D25BKP
Franklin India Life Stage Fund of Funds - The 30s Plan Growth,FRAN_INDI_LS_61H3D2
Franklin India Life Stage Fund of Funds - The 40s Plan Growth,FRAN_INDI_LS_1LK129O
Franklin India Life Stage Fund of Funds - The 50s Plus Floating Rate Plan Growth,FRAN_INDI_LS_WAVN1Q
Franklin India Life Stage Fund of Funds - The 50s Plus Plan Growth,FRAN_INDI_LS_13NQIBK
Franklin India Life Stage Fund of Funds The 20s Plan Dividend Payout,FRAN_INDI_LS_1GI4S5X
Franklin India Life Stage Fund of Funds The 20s Plan Dividend Reinvestment,FRAN_INDI_LS_SVHYRW
Franklin India Life Stage Fund of Funds The 30s Plan Dividend Payout,FRAN_INDI_LS_BVDH5C
Franklin India Life Stage Fund of Funds The 30s Plan Dividend Reinvestment,FRAN_INDI_LS_1PNIVJT
Franklin India Life Stage Fund of Funds The 40s Plan Dividend Payout,FRAN_INDI_LS_AZX59H
Franklin India Life Stage Fund of Funds The 40s Plan Dividend Reinvestment,FRAN_INDI_LS_YCP05Z
Franklin India Life Stage Fund of Funds The 50s Plus Floating Rate Plan Dividend Payout,FRAN_INDI_LS_183NDV3
Franklin India Life Stage Fund of Funds The 50s Plus Floating Rate Plan Dividend Reinvestment,FRAN_INDI_LS_1JUZICB
Franklin India Low Duration Fund - Direct - Growth,FRAN_INDI_LOW_GV447M
Franklin India Low Duration Fund Direct Monthly Dividend Payout,FRAN_INDI_LOW_38CVEC
Franklin India Low Duration Fund Direct Monthly Dividend Reinvestment,FRAN_INDI_LOW_11WEG3Q
Franklin India Low Duration Fund Direct Quarterly Dividend Payout,FRAN_INDI_LOW_1KBOQAA
Franklin India Low Duration Fund Direct Quarterly Dividend Reinvestment,FRAN_INDI_LOW_RNQHHA
Franklin India Low Duration Fund Growth,FRAN_INDI_LOW_19K9QRQ
Franklin India Low Duration Fund Monthly Dividend Payout,FRAN_INDI_LOW_QX2U25
Franklin India Low Duration Fund Monthly Dividend Reinvestment,FRAN_INDI_LOW_1D4AKDU
Franklin India Low Duration Fund Quarterly Dividend Payout,FRAN_INDI_LOW_2R9GBI
Franklin India Low Duration Fund Quarterly Dividend Reinvestment,FRAN_INDI_LOW_LOS6G3
Franklin India Monthly Income Plan - Direct - Growth,FRAN_INDI_MIP_RQOTXU
Franklin India Monthly Income Plan Direct Monthly Dividend Payout,FRAN_INDI_MIP_IX0NH4
Franklin India Monthly Income Plan Direct Monthly Dividend Reinvestment,FRAN_INDI_MIP_1FNP9KD
Franklin India Monthly Income Plan Direct Quarterly Dividend Payout,FRAN_INDI_MIP_RB2LL3
Franklin India Monthly Income Plan Direct Quarterly Dividend Reinvestment,FRAN_INDI_MIP_R143TI
Franklin India Monthly Income Plan Growth,FRAN_INDI_MIP_97KRK
Franklin India Monthly Income Plan Monthly Dividend Payout,FRAN_INDI_MIP_QY4MEM
Franklin India Monthly Income Plan Monthly Dividend Reinvestment,FRAN_INDI_MIP_CV7FY8
Franklin India Monthly Income Plan Quarterly Dividend Payout,FRAN_INDI_MIP_1UQ9NLQ
Franklin India Monthly Income Plan Quarterly Dividend Reinvestment,FRAN_INDI_MIP_1H3865L
Franklin India Multi - Asset Solution Fund - Growth Plan,FRAN_INDI_MULT_1UBGWAH
Franklin India Multi - Asset Solution Fund - Growth Plan - Direct,FRAN_INDI_MULT_CXYX4S
Franklin India Multi Asset Solution Fund Dividend Payout Plan,FRAN_INDI_MULT_G59SPF
Franklin India Multi Asset Solution Fund Dividend Payout Plan Direct,FRAN_INDI_MULT_1J7DRXT
Franklin India Multi Asset Solution Fund Dividend Reinvestment Plan,FRAN_INDI_MULT_1RIRGIW
Franklin India Multi Asset Solution Fund Dividend Reinvestment Plan Direct,FRAN_INDI_MULT_1AYSPWE
Franklin India Opportunities Fund - Direct - Growth,FRAN_INDI_OPPO_JYSBG9
Franklin India Opportunities Fund Direct Dividend Payout,FRAN_INDI_OPPO_ARNZ2H
Franklin India Opportunities Fund Direct Dividend Reinvestment,FRAN_INDI_OPPO_18PGU7J
Franklin India Opportunities Fund Dividend Payout,FRAN_INDI_OPPO_1707V9N
Franklin India Opportunities Fund Dividend Reinvestment,FRAN_INDI_OPPO_1ICPDLK
Franklin India Opportunities Fund Growth,FRAN_INDI_OPPO_A4BL1Q
Franklin India Pension Plan - Direct - Growth,FRAN_INDI_PENS_NJ57HI
Franklin India Pension Plan Direct Dividend Payout,FRAN_INDI_PENS_14A0QYR
Franklin India Pension Plan Direct Dividend Reinvestment,FRAN_INDI_PENS_O5G9DO
Franklin India Pension Plan Dividend Payout,FRAN_INDI_PENS_L37SD9
Franklin India Pension Plan Dividend Reinvestment,FRAN_INDI_PENS_GVSUXZ
Franklin India Pension Plan Growth,FRAN_INDI_PENS_1IUCHJJ
Franklin India Prima Fund - Direct - Growth,FRAN_INDI_PRIM_15C6GY1
Franklin India Prima Fund Direct Dividend Payout,FRAN_INDI_PRIM_GO2VIL
Franklin India Prima Fund Direct Dividend Reinvestment,FRAN_INDI_PRIM_HYRHWI
Franklin India Prima Fund Dividend Payout,FRAN_INDI_PRIM_11QFMR4
Franklin India Prima Fund Dividend Reinvestment,FRAN_INDI_PRIM_1516CXP
Franklin India Prima Fund Growth,FRAN_INDI_PRIM_1A4VDOC
Franklin India Prima Plus - Direct - Growth,FRAN_INDI_PRIM_VFO6LV
Franklin India Prima Plus Direct Dividend Payout,FRAN_INDI_PRIM_GQ2QZ8
Franklin India Prima Plus Direct Dividend Reinvestment,FRAN_INDI_PRIM_MCGRX7
Franklin India Prima Plus Fund Dividend Payout,FRAN_INDI_PRIM_SXID74
Franklin India Prima Plus Fund Dividend Reinvestment,FRAN_INDI_PRIM_1XY5RBF
Franklin India Prima Plus Fund Growth,FRAN_INDI_PRIM_L1V0G7
Franklin India Savings Plus Fund - Direct - Growth,FRAN_INDI_SAVI_1SAS2Q9
Franklin India Savings Plus Fund - Growth,FRAN_INDI_SAVI_55PS02
Franklin India Savings Plus Fund Daily Dividend Reinvestment option,FRAN_INDI_SAVI_1YAGRJC
Franklin India Savings Plus Fund Daily Dividend Reinvestment option Direct,FRAN_INDI_SAVI_1KNIYM3
Franklin India Savings Plus Fund Direct Monthly Dividend Payout,FRAN_INDI_SAVI_3TM55B
Franklin India Savings Plus Fund Direct Monthly Dividend Reinvestment,FRAN_INDI_SAVI_1TNMWX7
Franklin India Savings Plus Fund Direct Quarterly Dividend Payout,FRAN_INDI_SAVI_MULR61
Franklin India Savings Plus Fund Direct Quarterly Dividend Reinvestment,FRAN_INDI_SAVI_RCG38K
Franklin India Savings Plus Fund Dividend Payout,FRAN_INDI_SAVI_NUSQI8
Franklin India Savings Plus Fund Dividend Reinvestment,FRAN_INDI_SAVI_N9TX92
Franklin India Savings Plus Fund Institutional Weekly Dividend Payout,FRAN_INDI_SAVI_1D75XE5
Franklin India Savings Plus Fund Institutional Weekly Dividend Reinvestment,FRAN_INDI_SAVI_12IDNP
Franklin India Savings Plus Fund Monthly Dividend Payout,FRAN_INDI_SAVI_HRK9JG
Franklin India Savings Plus Fund Monthly Dividend Reinvestment,FRAN_INDI_SAVI_IITIO7
Franklin India Short Term Income Plan - Direct Plan - Growth,FRAN_INDI_ST_I11BRM
Franklin India Short Term Income Plan Direct Plan Monthly Dividend Payout,FRAN_INDI_ST_L9IMJU
Franklin India Short Term Income Plan Direct Plan Monthly Dividend Reinvestment,FRAN_INDI_ST_GJ8XZL
Franklin India Short Term Income Plan Direct Plan Quarterly Dividend Payout,FRAN_INDI_ST_U53OPB
Franklin India Short Term Income Plan Direct Plan Quarterly Dividend Reinvestment,FRAN_INDI_ST_TR08HQ
Franklin India Short Term Income Plan Direct Plan Weekly Dividend Reinvestment,FRAN_INDI_ST_QCKRZV
Franklin India Short Term Income Plan Growth,FRAN_INDI_ST_1GHG7IM
Franklin India Short Term Income Plan Institutional Growth,FRAN_INDI_ST_O7317U
Franklin India Short Term Income Plan Institutional Monthly Dividend Payout,FRAN_INDI_ST_2F6PIW
Franklin India Short Term Income Plan Institutional Monthly Dividend Reinvestment,FRAN_INDI_ST_OJ9XL6
Franklin India Short Term Income Plan Monthly Dividend Payout,FRAN_INDI_ST_14AGO15
Franklin India Short Term Income Plan Monthly Dividend Reinvestment,FRAN_INDI_ST_10I02TJ
Franklin India Short Term Income Plan Quarterly Dividend Payout,FRAN_INDI_ST_AAU6EY
Franklin India Short Term Income Plan Quarterly Dividend Reinvestment,FRAN_INDI_ST_18CPIJX
Franklin India Short Term Income Plan Weekly Dividend Reinvestment,FRAN_INDI_ST_1KC4N6U
Franklin India Smaller Companies Fund - Direct - Growth,FRAN_INDI_SMAL_8SG021
Franklin India Smaller Companies Fund Direct Dividend Payout,FRAN_INDI_SMAL_1LC1GMA
Franklin India Smaller Companies Fund Direct Dividend Reinvestment,FRAN_INDI_SMAL_930BV8
Franklin India Smaller Companies Fund Dividend Payout,FRAN_INDI_SMAL_DSTBTH
Franklin India Smaller Companies Fund Dividend Reinvestment,FRAN_INDI_SMAL_17WNXMS
Franklin India Smaller Companies Fund Growth,FRAN_INDI_SMAL_GVBMF2
Franklin India Taxshield - Direct - Growth,FRAN_INDI_TAXS_F8A7WM
Franklin India Taxshield Direct Dividend Payout,FRAN_INDI_TAXS_1RUJ3CD
Franklin India Taxshield Direct Dividend Reinvestment,FRAN_INDI_TAXS_1VM7FD7
Franklin India Taxshield Fund Dividend Payout,FRAN_INDI_TAXS_AC3EVB
Franklin India Taxshield Fund Dividend Reinvestment,FRAN_INDI_TAXS_BE51BK
Franklin India Taxshield Fund Growth,FRAN_INDI_TAXS_11AR13H
Franklin India Technology Fund - Direct - Growth,FRAN_INDI_TECH_BOEYV4
Franklin India Technology Fund Direct Dividend Payout,FRAN_INDI_TECH_56GD4V
Franklin India Technology Fund Direct Dividend Reinvestment,FRAN_INDI_TECH_1Z11ECZ
Franklin India Technology Fund Dividend Payout,FRAN_INDI_TECH_1K1PF7E
Franklin India Technology Fund Dividend Reinvestment,FRAN_INDI_TECH_1DWR7FC
Franklin India Technology Fund Growth,FRAN_INDI_TECH_1UP2MYD
Franklin India Treasury Management Account - Super Institutional - Direct - Growth,FRAN_INDI_TMA_CPLUAG
Franklin India Treasury Management Account Daily Dividend Reinvestment,FRAN_INDI_TMA_2RAC21
Franklin India Treasury Management Account Growth,FRAN_INDI_TMA_1U9BQ8R
Franklin India Treasury Management Account Institutional Daily Dividend Reinvestment,FRAN_INDI_TMA_KQGKS5
Franklin India Treasury Management Account Institutional Growth,FRAN_INDI_TMA_G2DLFC
Franklin India Treasury Management Account Institutional Weekly Dividend Payout,FRAN_INDI_TMA_GOVAB6
Franklin India Treasury Management Account Institutional Weekly Dividend Reinvestment,FRAN_INDI_TMA_1EGSU2N
Franklin India Treasury Management Account Super Institutional Direct Daily Dividend Reinvestment,FRAN_INDI_TMA_AWBSNJ
Franklin India Treasury Management Account Super Institutional Direct Weekly Dividend Payout,FRAN_INDI_TMA_1H7297V
Franklin India Treasury Management Account Super Institutional Direct Weekly Dividend Reinvestment,FRAN_INDI_TMA_18J7IL3
Franklin India Treasury Management Account Weekly Dividend Payout,FRAN_INDI_TMA_HLBDXG
Franklin India Treasury Management Account Weekly Dividend Reinvestment,FRAN_INDI_TMA_YJ2AKF
Franklin India Treasury Management Account-Super Institutional Plan - Growth,FRAN_INDI_TMA_WHFJT4
Franklin India Treasury Management Account-Super Institutional Plan Daily Dividend Reinvestment,FRAN_INDI_TMA_1S578QJ
Franklin India Treasury Management Account-Super Institutional Plan Weekly Dividend Payout,FRAN_INDI_TMA_1YGV7SI
Franklin India Treasury Management Account-Super Institutional Plan Weekly Dividend Reinvestment,FRAN_INDI_TMA_1X6ECLW
Franklin India Ultra Short Bond Fund - Direct - Growth,FRAN_INDI_UST_1A7J61B
Franklin India Ultra Short Bond Fund Direct Daily Dividend Reinvestment,FRAN_INDI_UST_62E11A
Franklin India Ultra Short Bond Fund Direct Weekly Dividend Reinvestment,FRAN_INDI_UST_D5IF4C
Franklin India Ultra Short Bond Fund Institutional Daily Dividend Reinvestment,FRAN_INDI_UST_1GJ0VL9
Franklin India Ultra Short Bond Fund Institutional Growth,FRAN_INDI_UST_7E9BBL
Franklin India Ultra Short Bond Fund Institutional Weekly Dividend Reinvestment,FRAN_INDI_UST_LXM35U
Franklin India Ultra Short Bond Fund Retail Daily Dividend Reinvestment,FRAN_INDI_UST_1SO8T73
Franklin India Ultra Short Bond Fund Retail Growth,FRAN_INDI_UST_17YO5U
Franklin India Ultra Short Bond Fund Retail Weekly Dividend Payout,FRAN_INDI_UST_3C9SRX
Franklin India Ultra Short Bond Fund Retail Weekly Dividend Reinvestment,FRAN_INDI_UST_1NP703R
Franklin India Ultra Short Bond Fund Super Institutional Daily Dividend Reinvestment,FRAN_INDI_UST_1TMHWG3
Franklin India Ultra Short Bond Fund Super Institutional Growth,FRAN_INDI_UST_34RUIT
Franklin India Ultra Short Bond Fund Super Institutional Weekly Dividend Reinvestment,FRAN_INDI_UST_1VQ4ING
Future Generali Life - Future Apex Fund,FUTU_GEN_LIFE_1VSP2RB
